City,Month,Max Temp,Min Temp
Albuquerque,January,2.4,-36.4
Albuquerque,February,5.2,-41.4
Albuquerque,March,8.9,-48.1
Albuquerque,April,13.3,-56
Albuquerque,May,18.7,-65.6
Albuquerque,June,23.8,-74.9
Albuquerque,July,25.7,-78.3
Albuquerque,August,24.6,-76.2
Albuquerque,September,20.7,-69.3
Albuquerque,October,14.2,-57.5
Albuquerque,November,7.2,-44.9
Albuquerque,December,2.4,-36.3
Anchorage,January,−8.3,-17.1
Anchorage,February,−6.6,-20.2
Anchorage,March,−3.0,-26.6
Anchorage,April,2.7,-36.8
Anchorage,May,8.8,-47.8
Anchorage,June,12.9,-55.2
Anchorage,July,14.9,-58.8
Anchorage,August,13.7,-56.7
Anchorage,September,9.2,-48.6
Anchorage,October,1.6,-34.8
Anchorage,November,−5.4,-22.2
Anchorage,December,−7.2,-19
Atlanta,January,6.4,-43.5
Atlanta,February,8.6,-47.4
Atlanta,March,12.6,-54.6
Atlanta,April,16.7,-62.1
Atlanta,May,21.3,-70.3
Atlanta,June,25.2,-77.4
Atlanta,July,26.9,-80.4
Atlanta,August,26.4,-79.5
Atlanta,September,23.1,-73.5
Atlanta,October,17.4,-63.4
Atlanta,November,12.3,-54.1
Atlanta,December,7.5,-45.5
Austin,January,10.8,-51.5
Austin,February,12.8,-55
Austin,March,16.5,-61.7
Austin,April,20.7,-69.2
Austin,May,24.8,-76.6
Austin,June,27.9,-82.2
Austin,July,29.4,-85
Austin,August,29.9,-85.8
Austin,September,26.7,-80
Austin,October,21.8,-71.2
Austin,November,16.1,-61
Austin,December,11.4,-52.5
Baltimore,January,0.8,-33.5
Baltimore,February,2.4,-36.4
Baltimore,March,6.8,-44.2
Baltimore,April,12.4,-54.3
Baltimore,May,17.6,-63.6
Baltimore,June,22.8,-73
Baltimore,July,25.3,-77.6
Baltimore,August,24.3,-75.7
Baltimore,September,20.2,-68.4
Baltimore,October,13.7,-56.7
Baltimore,November,8.3,-47
Baltimore,December,2.9,-37.3
Boise,January,−0.4,-31.3
Boise,February,2.5,-36.5
Boise,March,6.9,-44.5
Boise,April,10.4,-50.8
Boise,May,15.1,-59.1
Boise,June,19.7,-67.5
Boise,July,24.3,-75.8
Boise,August,23.7,-74.7
Boise,September,18.3,-64.9
Boise,October,11.6,-52.8
Boise,November,4.4,-40
Boise,December,−0.7,-30.7
Boston,January,−1.5,-29.3
Boston,February,0,-32
Boston,March,3.7,-38.6
Boston,April,9.1,-48.4
Boston,May,14.6,-58.2
Boston,June,20,-68
Boston,July,23.2,-73.7
Boston,August,22.4,-72.4
Boston,September,18.4,-65.2
Boston,October,12.4,-54.3
Boston,November,7.2,-45
Boston,December,1.7,-35
Charlotte,January,5.1,-41.2
Charlotte,February,7.2,-45
Charlotte,March,11.3,-52.3
Charlotte,April,15.8,-60.5
Charlotte,May,20.3,-68.5
Charlotte,June,24.7,-76.4
Charlotte,July,26.4,-79.6
Charlotte,August,25.8,-78.4
Charlotte,September,22.2,-71.9
Charlotte,October,16.3,-61.3
Charlotte,November,11.1,-51.9
Charlotte,December,6.3,-43.4
Chicago,January,−4.6,-23.7
Chicago,February,−2.4,-27.7
Chicago,March,3.2,-37.7
Chicago,April,9.4,-48.9
Chicago,May,15,-59
Chicago,June,20.5,-68.9
Chicago,July,23.3,-73.9
Chicago,August,22.4,-72.3
Chicago,September,18.1,-64.5
Chicago,October,11.4,-52.5
Chicago,November,4.6,-40.3
Chicago,December,−2.4,-27.7
Columbus,January,−1.6,-29.2
Columbus,February,0.2,-32.4
Columbus,March,5.3,-41.5
Columbus,April,11.5,-52.7
Columbus,May,16.8,-62.2
Columbus,June,21.8,-71.2
Columbus,July,23.8,-74.9
Columbus,August,23.1,-73.6
Columbus,September,19.1,-66.4
Columbus,October,12.6,-54.7
Columbus,November,6.7,-44
Columbus,December,0.6,-33.1
Dallas,January,7.7,-45.9
Dallas,February,9.9,-49.9
Dallas,March,14.2,-57.6
Dallas,April,18.6,-65.5
Dallas,May,23.3,-73.9
Dallas,June,27.4,-81.4
Dallas,July,29.7,-85.5
Dallas,August,29.8,-85.7
Dallas,September,25.6,-78.1
Dallas,October,19.8,-67.6
Dallas,November,13.7,-56.6
Dallas,December,8.4,-47.2
Denver,January,−0.3,-31.4
Denver,February,0.8,-33.4
Denver,March,4.8,-40.7
Denver,April,8.9,-48
Denver,May,14.2,-57.6
Denver,June,19.7,-67.4
Denver,July,23.4,-74.1
Denver,August,22.3,-72.1
Denver,September,17.3,-63.2
Denver,October,10.4,-50.7
Denver,November,3.8,-38.9
Denver,December,−0.9,-30.3
Detroit,January,−3.7,-25.3
Detroit,February,−2.3,-27.9
Detroit,March,2.7,-36.9
Detroit,April,9.4,-49
Detroit,May,15.2,-59.4
Detroit,June,20.7,-69.2
Detroit,July,23,-73.4
Detroit,August,22.1,-71.8
Detroit,September,17.9,-64.2
Detroit,October,11.2,-52.2
Detroit,November,5.2,-41.3
Detroit,December,−1.2,-29.9
El Paso,January,7.3,-45.2
El Paso,February,10.1,-50.2
El Paso,March,13.7,-56.7
El Paso,April,18.2,-64.7
El Paso,May,23.3,-74
El Paso,June,27.7,-81.8
El Paso,July,28.2,-82.8
El Paso,August,27.3,-81.1
El Paso,September,24.1,-75.4
El Paso,October,18.4,-65.2
El Paso,November,11.7,-53.1
El Paso,December,7.2,-44.9
Fairbanks,January,−21.9,(−7.5)
Fairbanks,February,−18.3,(−0.9)
Fairbanks,March,−11.2,-11.8
Fairbanks,April,0.5,-32.9
Fairbanks,May,9.9,-49.8
Fairbanks,June,16,-60.8
Fairbanks,July,17.1,-62.8
Fairbanks,August,13.6,-56.5
Fairbanks,September,7.3,-45.2
Fairbanks,October,−4.2,-24.4
Fairbanks,November,−16.2,-2.9
Fairbanks,December,−19.8,(−3.7)
Fresno,January,8.1,-46.6
Fresno,February,10.8,-51.5
Fresno,March,13.7,-56.6
Fresno,April,16.7,-62
Fresno,May,21.2,-70.1
Fresno,June,25.1,-77.2
Fresno,July,28.3,-83
Fresno,August,27.6,-81.7
Fresno,September,24.6,-76.2
Fresno,October,19,-66.2
Fresno,November,12.4,-54.3
Fresno,December,8.1,-46.5
Houston,January,11.5,-52.7
Houston,February,13.3,-56
Houston,March,16.9,-62.4
Houston,April,20.7,-69.2
Houston,May,24.8,-76.6
Houston,June,27.7,-81.9
Houston,July,28.9,-84
Houston,August,29,-84.2
Houston,September,26.3,-79.4
Houston,October,21.7,-71.1
Houston,November,16.6,-61.9
Houston,December,12.3,-54.1
Indianapolis,January,−2.2,-28.1
Indianapolis,February,0.1,-32.2
Indianapolis,March,5.7,-42.3
Indianapolis,April,11.8,-53.2
Indianapolis,May,17.2,-62.9
Indianapolis,June,22.3,-72.2
